KEGG_ID	Taxonomy_type	Class_I	Class_II	Description
K11304	Eukaryotic type	Zinc finger	Cys2HisCys zinc factors	TIP60, KAT5, ESA1; histone acetyltransferase HTATIP [EC:2.3.1.48]
K24387	Eukaryotic type	Zinc finger	Cys2HisCys zinc factors	L3MBTL; lethal(3)malignant brain tumor-like protein
K15263	Eukaryotic type	Zinc finger	Cys2HisCys zinc factors	LYER; cell growth-regulating nucleolar protein
K24388	Eukaryotic type	Zinc finger	Cys3His zinc factors	ZC3H8; zinc finger CCCH domain-containing protein 8
K15690	Eukaryotic type	Zinc finger	Cys3His zinc factors	RC3H; RING finger and CCCH-type zinc finger domain-containing protein
K10643	Eukaryotic type	Zinc finger	Cys3His zinc factors	CNOT4, NOT4, MOT2; CCR4-NOT transcription complex subunit 4 [EC:2.3.2.27]
K23203	Eukaryotic type	Zinc finger	Cys2CysHis zinc factors	THAP1_3; THAP domain-containing protein 1/3
K23206	Eukaryotic type	Zinc finger	Cys2CysHis zinc factors	THAP5_8; THAP domain-containing protein 5/8
K23208	Eukaryotic type	Zinc finger	Cys2CysHis zinc factors	THAP7; THAP domain-containing protein 7
K23210	Eukaryotic type	Zinc finger	Cys2CysHis zinc factors	THAP10; THAP domain-containing protein 10
K23211	Eukaryotic type	Zinc finger	Cys2CysHis zinc factors	THAP11; THAP domain-containing protein 11
K09186	Eukaryotic type	Zinc finger	CXXC CpG-binding proteins	MLL1; [histone H3]-lysine4 N-trimethyltransferase MLL1 [EC:2.1.1.354]
K14959	Eukaryotic type	Zinc finger	CXXC CpG-binding proteins	MLL4; [histone H3]-lysine4 N-trimethyltransferase MLL4 [EC:2.1.1.354]
K14960	Eukaryotic type	Zinc finger	CXXC CpG-binding proteins	CXXC1, SPP1, CPS40; COMPASS component SPP1
K22760	Eukaryotic type	Zinc finger	CXXC CpG-binding proteins	CXXC5; CXXC-type zinc finger protein 5
K13097	Eukaryotic type	Zinc finger	CXXC CpG-binding proteins	TET1; methylcytosine dioxygenase [EC:1.14.11.80]
K24309	Eukaryotic type	Zinc finger	CXXC CpG-binding proteins	TET2_3; methylcytosine dioxygenase TET2/3 [EC:1.14.11.80]
K00558	Eukaryotic type	Zinc finger	CXXC CpG-binding proteins	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
K10276	Eukaryotic type	Zinc finger	CXXC CpG-binding proteins	FBXL10_11, KDM2; F-box and leucine-rich repeat protein 10/11 [EC:1.14.11.27]
K10285	Eukaryotic type	Zinc finger	CXXC CpG-binding proteins	FBXL19; F-box and leucine-rich repeat protein 19
K11589	Eukaryotic type	Zinc finger	CXXC CpG-binding proteins	MBD1; methyl-CpG-binding domain protein 1
K03344	Eukaryotic type	Zinc finger	CXXC CpG-binding proteins	IDAX; Dvl-binding protein IDAX
K09240	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	CAT8; transcriptional regulatory protein CAT8
K09241	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	GAL4; transcriptional regulatory protein GAL4
K09242	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	LEU3; transcriptional regulatory protein LEU3
K09243	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	UME6; transcriptional regulatory protein UME6
K09244	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	AMDR; transcriptional regulatory protein AMDR
K09245	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	UGA3; transcriptional activator protein UGA3
K09246	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	ARG81, ARGR2; arginine metabolism regulation protein II
K09247	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	CYP1, HAP1; heme activator protein 1
K09248	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	PUT3; proline utilization trans-activator
K21641	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	RGT1; glucose transport transcription regulator RGT1
K21546	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	GLIZ; C6 transcription factor GliZ
K21450	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	ARAR; arabinolytic transcriptional activator AraR
K23629	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	ASAR; C6 transcription factor AsaR
K21547	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	PRO1, NOSA; C6 transcription factor Pro1
K21632	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	WOR2; white-opaque regulator 2
K21633	Eukaryotic type	Zinc finger	Cys6 metabolic regulators in fungi	CZF1; zinc cluster transcription factor CZF1
K11467	Eukaryotic type	Zinc finger	Other zinc fingers	PHF1, PCL1; PHD finger protein 1
K23310	Eukaryotic type	Zinc finger	Other zinc fingers	PHF6; PHD finger protein 6
K11486	Eukaryotic type	Zinc finger	Other zinc fingers	PHF19, PCL3; PHD finger protein 19
K26271	Eukaryotic type	Zinc finger	Other zinc fingers	MS1, MMD1; PHD finger protein MS1/MMD1
K26274	Eukaryotic type	Zinc finger	Other zinc fingers	AL; PHD finger protein ALFIN-LIKE
K11485	Eukaryotic type	Zinc finger	Other zinc fingers	MTF2, PCL2; metal regulatory transcription factor 2
K12236	Eukaryotic type	Zinc finger	Other zinc fingers	NFX1; transcriptional repressor NF-X1
K19749	Eukaryotic type	Zinc finger	Other zinc fingers	RAI1; retinoic acid-induced protein 1
K09250	Eukaryotic type	Zinc finger	Other zinc fingers	CNBP; cellular nucleic acid-binding protein
K24369	Eukaryotic type	Zinc finger	Other zinc fingers	ZC4H2; zinc finger C4H2 domain-contaning protein
K24769	Eukaryotic type	Zinc finger	Other zinc fingers	TCF20; transcription factor 20
K09249	Eukaryotic type	Zinc finger	Other zinc fingers	ABF1, BAF1; ARS-binding factor 1
K21950	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOXA9; homeobox protein Hox-A9
K09294	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOX_9; homeobox protein HoxB/C/D9
K17443	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOXA10; homrobox protein Hox-A10
K17444	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOXC10; homrobox protein Hox-C10
K09295	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOXD10; homrobox protein Hox-D10
K21951	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOXA11; homeobox protein Hox-A11
K09296	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOX_11; homeobox protein HoxC/D11
K09297	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOX_12; homeobox protein HoxC/D12
K09298	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOX_13; homeobox protein HoxA/B/C/D13
K09301	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOX_1; homeobox protein HoxA/B/D1
K09302	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOX_2; homeobox protein HoxA/B2
K09303	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOX_3; homeobox protein HoxA/B/D3
K09304	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOX_4; homeobox protein HoxA/B/C/D4
K09305	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOX_5; homeobox protein HoxA/B/C5
K09306	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOX_6; homeobox protein HoxA/B/C6
K09307	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOX_7; homeobox protein HoxA/B7
K09308	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HOX_8; homeobox protein HoxB/C/D8
K09310	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	GSH; homeobox protein GSH
K07594	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	IPF1, PDX1; insulin promoter factor 1
K09312	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	CDX1_4; homeobox protein CDX1/4
K22234	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	CDX2; homeobox protein CDX2
K09320	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	EVX; homeobox even-skipped homolog protein
K09321	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	GBX; homeobox protein GBX
K08025	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	HLXB9, HB9; homeobox protein HB9
K09322	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	MEOX, MOX; homeobox protein MOX
K09300	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	ABDB; homeobox protein abdominal-B and related proteins
K18659	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: HOXL	BCD; homeotic protein bicoid
K09309	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKX1; homeobox protein Nkx-1
K09342	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKX2-1, TITF1; homeobox protein Nkx-2.1
K08029	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKX2-2; homeobox protein Nkx-2.2
K09343	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKX2-3; homeobox protein Nkx-2.3
K09344	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKX2-4; homeobox protein Nkx-2.4
K09345	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKX2-5; homeobox protein Nkx-2.5
K09346	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKX2-6; homeobox protein Nkx-2.6
K09347	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKX2-8; homeobox protein Nkx-2.8
K09348	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKX3-1; homeobox protein Nkx-3.1
K09995	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKX3-2, BAPX1; homeobox protein Nkx-3.2
K09349	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKX5, HMX; homeobox protein Nkx-5
K08030	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKX6-1; homeobox protein Nkx-6.1
K09350	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKX6-2; homeobox protein Nkx-6.2
K09351	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKX6-3; homeobox protein Nkx-6.3
K09352	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NKXN; homeobox protein Nkx, invertebrate
K09314	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	DLX1_4_6; homeobox protein DLX1/4/6
K18488	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	DLX2; homeobox protein DLX2
K09315	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	DLX3; homeobox protein DLX3
K18489	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	DLX5; homeobox protein DLX5
K09340	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	TLX1, HOX11; T-cell leukemia homeobox protein 1
K15606	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	TLX2, HOX11L1; T-cell leukemia homeobox protein 2
K15607	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	TLX3, HOX11L2; T-cell leukemia homeobox protein 3
K09339	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	HLX1; homeobox protein HLX1
K09317	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	EMX; homeobox protein EMX
K09318	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	VAX; homeobox protein ventral anterior
K09319	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	EN; homeobox protein engrailed
K09341	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	MSX; homeobox protein MSX
K09353	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	LBX; homeobox protein LBX
K08024	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	HHEX, HEX, PRH; homeobox protein HEX
K09360	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	BARHL; BarH-like
K09361	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	BARX; BarH-like homeobox
K10164	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NANOG; homeobox protein Nanog
K24874	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	BSX; brain-specific homeobox protein
K24875	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	DBX; homeobox protein DBX
K24876	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	NOTO; homeobox protein notochord
K24877	Eukaryotic type	Helix-turn-helix	Homeo domain ANTP: NKL	VENTX; homeobox protein VENTX
K09452	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	ARX; homeobox protein aristaless-related
K09323	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	ALX3; homeobox protein aristaless-like 3
K09451	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	ALX4; homeobox protein aristaless-like 4
K09324	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	GSC; homeobox protein goosecoid
K09325	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	GSCL; homeobox protein goosecoid-like
K09326	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	OTX1; homeobox protein OTX1
K18490	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	OTX2; homeobox protein OTX2
K09327	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	PROP1; homeobox protein prophet of Pit-1
K09328	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	UNC4; homeobox protein Unc-4
K09329	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	PRRX, PMX; paired mesoderm homeobox protein
K09330	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	PHOX2, PMX2; paired mesoderm homeobox protein 2
K09331	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	SHOX; short stature homeobox protein
K09332	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	RAX, RX; retina and anterior neural fold homeobox protein
K09333	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	RAXL; retina and anterior neural fold homeobox-like protein
K09334	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	ALX1, CART1; ALX homeobox protein 1
K09335	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	VSX1; visual system homeobox protein 1
K09336	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	VSX2, CHX10; visual system homeobox protein 2
K09337	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	CRX; cone-rod homeobox protein
K18491	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	ESX1; homeobox protein ESX1
K24199	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	NOBOX; homeobox protein NOBOX
K09356	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	PITX1; paired-like homeodomain transcription factor 1
K04686	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	PITX2; paired-like homeodomain transcription factor 2
K09357	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	PITX3; paired-like homeodomain transcription factor 3
K09354	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	HESX1; homeobox protein expressed in ES cells 1
K24892	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	ARGFX; arginine-fifty homeobox
K24893	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	DMBX1; diencephalon/mesencephalon homeobox protein 1
K24894	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	DPRX; divergent paired-related homeobox
K24895	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	DRGX, PRRXL1; dorsal root ganglia homeobox protein
K24896	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	DUX; double homeobox protein
K24897	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	HOPX; homeodomain-only protein
K24898	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	ISX; intestine-specific homeobox
K24899	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	LEUTX; leucine-twenty homeobox
K24900	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	MIXL1; homeobox protein MIXL1
K24901	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	OTP; homeobox protein orthopedia
K24902	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	RHOXF1; rhox homeobox family member 1
K24903	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	RHOXF2; rhox homeobox family member 2
K24904	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	SEBOX; homeobox protein SEBOX
K24905	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	TPRX1; tetra-peptide repeat homeobox protein 1
K09382	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	PAX1_9; paired box protein 1/9
K15608	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	PAX2; paired box protein 2
K09381	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	PAX3_7; paired box protein 3/7
K08032	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	PAX4; paired box protein 4
K09383	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	PAX5; paired box protein 5
K08031	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	PAX6; paired box protein 6
K09293	Eukaryotic type	Helix-turn-helix	Homeo domain Paired-related	PAX8; paired box protein 8
K09370	Eukaryotic type	Helix-turn-helix	Homeo domain LIM	ISL1; insulin gene enhancer protein ISL-1
K18492	Eukaryotic type	Helix-turn-helix	Homeo domain LIM	ISL2; insulin gene enhancer protein ISL-2
K09371	Eukaryotic type	Helix-turn-helix	Homeo domain LIM	LMX1; LIM homeobox transcription factor 1
K09372	Eukaryotic type	Helix-turn-helix	Homeo domain LIM	LHX1; LIM homeobox protein 1
K09373	Eukaryotic type	Helix-turn-helix	Homeo domain LIM	LHX2_9; LIM homeobox protein 2/9
K09374	Eukaryotic type	Helix-turn-helix	Homeo domain LIM	LHX3_4; LIM homeobox protein 3/4
K18493	Eukaryotic type	Helix-turn-helix	Homeo domain LIM	LHX5; LIM homeobox protein 5
K09375	Eukaryotic type	Helix-turn-helix	Homeo domain LIM	LHX6_8; LIM homeobox protein 6/8
K09377	Eukaryotic type	Helix-turn-helix	Homeo domain LIM	CSRP; cysteine and glycine-rich protein
K09363	Eukaryotic type	Helix-turn-helix	Homeo domain POU	POU1F, PIT1; POU domain transcription factor, class 1
K09364	Eukaryotic type	Helix-turn-helix	Homeo domain POU	POU2F, OTF; POU domain transcription factor, class 2
K09365	Eukaryotic type	Helix-turn-helix	Homeo domain POU	POU3F, OTF; POU domain transcription factor, class 3
K09366	Eukaryotic type	Helix-turn-helix	Homeo domain POU	POU4F, BRN3; POU domain transcription factor, class 4
K09367	Eukaryotic type	Helix-turn-helix	Homeo domain POU	POU5F; POU domain transcription factor, class 5
K09368	Eukaryotic type	Helix-turn-helix	Homeo domain POU	POU6F; POU domain transcription factor, class 6
K24884	Eukaryotic type	Helix-turn-helix	Homeo domain POU	HDX; highly divergent homeobox
K08036	Eukaryotic type	Helix-turn-helix	Homeo domain POU	TCF1, HNF1A; transcription factor 1, hepatocyte nuclear factor 1-alpha
K08034	Eukaryotic type	Helix-turn-helix	Homeo domain POU	TCF2, HNF1B; transcription factor 2, hepatocyte nuclear factor 1-beta
K24885	Eukaryotic type	Helix-turn-helix	Homeo domain POU	HMBOX1; homeobox-containing protein 1
K15614	Eukaryotic type	Helix-turn-helix	Homeo domain SINE	SIX1; homeobox protein SIX1
K19472	Eukaryotic type	Helix-turn-helix	Homeo domain SINE	SIX2; homeobox protein SIX2
K19473	Eukaryotic type	Helix-turn-helix	Homeo domain SINE	SIX3_6, OPTIX; homeobox protein SIX3/6
K15615	Eukaryotic type	Helix-turn-helix	Homeo domain SINE	SIX4; homeobox protein SIX4
K19474	Eukaryotic type	Helix-turn-helix	Homeo domain SINE	SIX5; homeobox protein SIX5
K09379	Eukaryotic type	Helix-turn-helix	Homeo domain ZF	ZFHX2; zinc finger homeobox protein 2
K09378	Eukaryotic type	Helix-turn-helix	Homeo domain ZF	ZFHX3, ATBF1; zinc finger homeobox protein 3
K09380	Eukaryotic type	Helix-turn-helix	Homeo domain ZF	ZFHX4; zinc finger homeobox protein 4
K09299	Eukaryotic type	Helix-turn-helix	Homeo domain ZF	ZEB1; zinc finger homeobox protein 1
K23560	Eukaryotic type	Helix-turn-helix	Homeo domain ZF	ZEB2; zinc finger homeobox protein 2
K22591	Eukaryotic type	Helix-turn-helix	Homeo domain ZF	ADNP; activity-dependent neuroprotector homeobox protein
K24878	Eukaryotic type	Helix-turn-helix	Homeo domain ZF	ADNP2; activity-dependent neuroprotector homeobox protein 2
K24879	Eukaryotic type	Helix-turn-helix	Homeo domain ZF	ZHX1; zinc fingers and homeoboxes protein 1
K24880	Eukaryotic type	Helix-turn-helix	Homeo domain ZF	ZHX2; zinc fingers and homeoboxes protein 2
K24881	Eukaryotic type	Helix-turn-helix	Homeo domain ZF	ZHX3; zinc fingers and homeoboxes protein 3
K24883	Eukaryotic type	Helix-turn-helix	Homeo domain ZF	HOMEZ; homeobox and leucine zipper protein Homez
K24882	Eukaryotic type	Helix-turn-helix	Homeo domain ZF	NANOGNB; NANOG neighbor homeobox
K09313	Eukaryotic type	Helix-turn-helix	Homeo domain CUT	CUTL; homeobox protein cut-like
K08026	Eukaryotic type	Helix-turn-helix	Homeo domain CUT	ONECUT1, HNF6; one cut domain, family member 1 (hepatocyte nuclear factor 6)
K24170	Eukaryotic type	Helix-turn-helix	Homeo domain CUT	ONECUT2; one cut domain family member 2
K24171	Eukaryotic type	Helix-turn-helix	Homeo domain CUT	ONECUT3; one cut domain family member 3
K23225	Eukaryotic type	Helix-turn-helix	Homeo domain CUT	SATB1; DNA-binding protein SATB1
K23226	Eukaryotic type	Helix-turn-helix	Homeo domain CUT	SATB2; DNA-binding protein SATB2
K20211	Eukaryotic type	Helix-turn-helix	Homeo domain PROS	PROX1; prospero homeobox 1
K20212	Eukaryotic type	Helix-turn-helix	Homeo domain PROS	PROX2; prospero homeobox 2
K09355	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	PBX1; pre-B-cell leukemia transcription factor 1
K15609	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	PBX2; pre-B-cell leukemia transcription factor 2
K15610	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	PBX3; pre-B-cell leukemia transcription factor 3
K15611	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	PBX4; pre-B-cell leukemia transcription factor 4
K15613	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	MEIS1; homeobox protein Meis1
K16670	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	MEIS2; homeobox protein Meis2
K16671	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	MEIS3; homeobox protein Meis3
K19383	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	TGIF1; homeobox protein TGIF1
K19553	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	TGIF2; homeobox protein TGIF2
K19554	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	TGIF2L, TGIFL; homeobox protein TGIF2L
K24889	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	IRX; iroquois-class homeodomain protein IRX
K24890	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	MKX; homeobox protein Mohawk
K24891	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	PKNOX; homeobox protein PKNOX
K16672	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	HTH; homeobox protein homothorax
K09359	Eukaryotic type	Helix-turn-helix	Homeo domain TALE	MATA2; mating-type protein A2
K22536	Eukaryotic type	Helix-turn-helix	Homeo domain other	DAN, DANR; distal antenna
K09338	Eukaryotic type	Helix-turn-helix	Homeo domain other	HD-ZIP; homeobox-leucine zipper protein
K09358	Eukaryotic type	Helix-turn-helix	Homeo domain other	MATA1; mating-type protein A1
K02646	Eukaryotic type	Helix-turn-helix	Homeo domain other	PHO2; regulatory protein PHO2
K12411	Eukaryotic type	Helix-turn-helix	Homeo domain other	YOX1, YHP1; homeobox protein YOX1/YHP1
K09362	Eukaryotic type	Helix-turn-helix	Homeo domain other	K09362; homeo domain only family, other
K08035	Eukaryotic type	Helix-turn-helix	Fork head/winged helix developmental regulators	FOXA2, HNF3B; forkhead box protein A2, hepatocyte nuclear factor 3-beta
K09396	Eukaryotic type	Helix-turn-helix	Fork head/winged helix developmental regulators	FOXC; forkhead box protein C
K09385	Eukaryotic type	Helix-turn-helix	Fork head/winged helix developmental regulators	FOXG; forkhead box protein G
K09407	Eukaryotic type	Helix-turn-helix	Fork head/winged helix developmental regulators	FOXN; forkhead box protein N
K09387	Eukaryotic type	Helix-turn-helix	Fork head/winged helix tissue-specific regulators	FOXA1, HNF3A; forkhead box protein A1, hepatocyte nuclear factor 3-alpha
K08038	Eukaryotic type	Helix-turn-helix	Fork head/winged helix tissue-specific regulators	FOXA3, HNF3G; forkhead box protein A3, hepatocyte nuclear factor 3-gamma
K09402	Eukaryotic type	Helix-turn-helix	Fork head/winged helix tissue-specific regulators	FOXJ1; forkhead box protein J1
K17454	Eukaryotic type	Helix-turn-helix	Fork head/winged helix cell cycle-controlling factors, E2F	E2F1; transcription factor E2F1
K09389	Eukaryotic type	Helix-turn-helix	Fork head/winged helix cell cycle-controlling factors, E2F	E2F2; transcription factor E2F2
K06620	Eukaryotic type	Helix-turn-helix	Fork head/winged helix cell cycle-controlling factors, E2F	E2F3; transcription factor E2F3
K04682	Eukaryotic type	Helix-turn-helix	Fork head/winged helix cell cycle-controlling factors, E2F	E2F4_5; transcription factor E2F4/5
K09390	Eukaryotic type	Helix-turn-helix	Fork head/winged helix cell cycle-controlling factors, E2F	E2F6; transcription factor E2F6
K09391	Eukaryotic type	Helix-turn-helix	Fork head/winged helix cell cycle-controlling factors, E2F	E2F7_8; transcription factor E2F7/8
K04683	Eukaryotic type	Helix-turn-helix	Fork head/winged helix cell cycle-controlling factors, DP	TFDP1; transcription factor Dp-1
K09392	Eukaryotic type	Helix-turn-helix	Fork head/winged helix cell cycle-controlling factors, DP	TFDP2; transcription factor Dp-2
K09393	Eukaryotic type	Helix-turn-helix	Fork head/winged helix cell cycle-controlling factors, DP	TFDP3; transcription factor Dp-3
K09395	Eukaryotic type	Helix-turn-helix	Fork head/winged helix other regulators	FOXB; forkhead box protein B
K09397	Eukaryotic type	Helix-turn-helix	Fork head/winged helix other regulators	FOXD; forkhead box protein D
K09398	Eukaryotic type	Helix-turn-helix	Fork head/winged helix other regulators	FOXE; forkhead box protein E
K09399	Eukaryotic type	Helix-turn-helix	Fork head/winged helix other regulators	FOXF; forkhead box protein F
K09400	Eukaryotic type	Helix-turn-helix	Fork head/winged helix other regulators	FOXH; forkhead box protein H
K09401	Eukaryotic type	Helix-turn-helix	Fork head/winged helix other regulators	FOXI; forkhead box protein I
K09403	Eukaryotic type	Helix-turn-helix	Fork head/winged helix other regulators	FOXJ2_3; forkhead box protein J2/3
K09404	Eukaryotic type	Helix-turn-helix	Fork head/winged helix other regulators	FOXK; forkhead box protein K
K09405	Eukaryotic type	Helix-turn-helix	Fork head/winged helix other regulators	FOXL; forkhead box protein L
